Date;Age;Sex;Deaths
2007-02-02;60-69;Male;10
2007-02-02;70-79;Female;24
2007-02-02;70-79;Male;27
2007-02-02;80-89;Female;28
2007-02-02;80-89;Male;20
2007-02-02;90+;Female;19
2007-02-02;90+;Male;8
2007-02-03;0-9;Female;0
2007-02-03;0-9;Male;0
2007-02-03;10-19;Female;0
2007-02-03;10-19;Male;0
2007-02-03;20-29;Female;0
2007-02-03;20-29;Male;0
2007-02-03;30-39;Female;1
2007-02-03;30-39;Male;1
2007-02-03;40-49;Female;2
2007-02-03;40-49;Male;0
2007-02-03;50-59;Female;4
2007-02-03;50-59;Male;5
2007-02-03;60-69;Female;9
2007-02-03;60-69;Male;13
2007-02-03;70-79;Female;15
2007-02-03;70-79;Male;19
2007-02-03;80-89;Female;33
2007-02-03;80-89;Male;35
2007-02-03;90+;Female;17
2007-02-03;90+;Male;10
2007-02-04;0-9;Female;0
2007-02-04;0-9;Male;0
2007-02-04;10-19;Female;0
2007-02-04;10-19;Male;0
2007-02-04;20-29;Female;0
2007-02-04;20-29;Male;1
2007-02-04;30-39;Female;0
2007-02-04;30-39;Male;1
2007-02-04;40-49;Female;1
2007-02-04;40-49;Male;4
2007-02-04;50-59;Female;6
2007-02-04;50-59;Male;7
2007-02-04;60-69;Female;14
2007-02-04;60-69;Male;13
2007-02-04;70-79;Female;17
2007-02-04;70-79;Male;25
2007-02-04;80-89;Female;25
2007-02-04;80-89;Male;20
2007-02-04;90+;Female;18
2007-02-04;90+;Male;2
2007-02-05;0-9;Female;0
2007-02-05;0-9;Male;0
2007-02-05;10-19;Female;0
2007-02-05;10-19;Male;0
2007-02-05;20-29;Female;0
2007-02-05;20-29;Male;1
2007-02-05;30-39;Female;0
2007-02-05;30-39;Male;1
2007-02-05;40-49;Female;3
2007-02-05;40-49;Male;6
2007-02-05;50-59;Female;6
2007-02-05;50-59;Male;8
2007-02-05;60-69;Female;6
2007-02-05;60-69;Male;18
2007-02-05;70-79;Female;19
2007-02-05;70-79;Male;26
2007-02-05;80-89;Female;30
2007-02-05;80-89;Male;25
2007-02-05;90+;Female;18
2007-02-05;90+;Male;6
2007-02-06;0-9;Female;0
2007-02-06;0-9;Male;1
2007-02-06;10-19;Female;0
2007-02-06;10-19;Male;0
2007-02-06;20-29;Female;0
2007-02-06;20-29;Male;2
2007-02-06;30-39;Female;0
2007-02-06;30-39;Male;4
2007-02-06;40-49;Female;1
2007-02-06;40-49;Male;3
2007-02-06;50-59;Female;6
2007-02-06;50-59;Male;9
2007-02-06;60-69;Female;11
2007-02-06;60-69;Male;16
2007-02-06;70-79;Female;11
2007-02-06;70-79;Male;22
2007-02-06;80-89;Female;36
2007-02-06;80-89;Male;21
2007-02-06;90+;Female;19
2007-02-06;90+;Male;5
2007-02-07;0-9;Female;0
2007-02-07;0-9;Male;1
2007-02-07;10-19;Female;0
2007-02-07;10-19;Male;0
2007-02-07;20-29;Female;0
2007-02-07;20-29;Male;0
2007-02-07;30-39;Female;0
2007-02-07;30-39;Male;0
2007-02-07;40-49;Female;2
2007-02-07;40-49;Male;1
2007-02-07;50-59;Female;5
2007-02-07;50-59;Male;8
2007-02-07;60-69;Female;10
2007-02-07;60-69;Male;16
2007-02-07;70-79;Female;15
2007-02-07;70-79;Male;13
2007-02-07;80-89;Female;22
2007-02-07;80-89;Male;21
2007-02-07;90+;Female;21
2007-02-07;90+;Male;7
2007-02-08;0-9;Female;1
2007-02-08;0-9;Male;0
2007-02-08;10-19;Female;0
2007-02-08;10-19;Male;0
2007-02-08;20-29;Female;1
2007-02-08;20-29;Male;0
2007-02-08;30-39;Female;1
2007-02-08;30-39;Male;0
2007-02-08;40-49;Female;1
2007-02-08;40-49;Male;7
2007-02-08;50-59;Female;6
2007-02-08;50-59;Male;8
2007-02-08;60-69;Female;7
2007-02-08;60-69;Male;9
2007-02-08;70-79;Female;19
2007-02-08;70-79;Male;20
2007-02-08;80-89;Female;26
2007-02-08;80-89;Male;25
2007-02-08;90+;Female;13
2007-02-08;90+;Male;8
2007-02-09;0-9;Female;0
2007-02-09;0-9;Male;0
2007-02-09;10-19;Female;0
2007-02-09;10-19;Male;1
2007-02-09;20-29;Female;0
2007-02-09;20-29;Male;1
2007-02-09;30-39;Female;1
2007-02-09;30-39;Male;1
2007-02-09;40-49;Female;3
2007-02-09;40-49;Male;5
2007-02-09;50-59;Female;5
2007-02-09;50-59;Male;9
2007-02-09;60-69;Female;10
2007-02-09;60-69;Male;14
2007-02-09;70-79;Female;14
2007-02-09;70-79;Male;21
2007-02-09;80-89;Female;32
2007-02-09;80-89;Male;26
2007-02-09;90+;Female;25
2007-02-09;90+;Male;10
2007-02-10;0-9;Female;1
2007-02-10;0-9;Male;0
2007-02-10;10-19;Female;0
2007-02-10;10-19;Male;0
2007-02-10;20-29;Female;0
2007-02-10;20-29;Male;0
2007-02-10;30-39;Female;2
2007-02-10;30-39;Male;0
2007-02-10;40-49;Female;3
2007-02-10;40-49;Male;4
2007-02-10;50-59;Female;5
2007-02-10;50-59;Male;11
2007-02-10;60-69;Female;7
2007-02-10;60-69;Male;11
2007-02-10;70-79;Female;15
2007-02-10;70-79;Male;24
2007-02-10;80-89;Female;24
2007-02-10;80-89;Male;18
2007-02-10;90+;Female;15
2007-02-10;90+;Male;8
2007-02-11;0-9;Female;1
2007-02-11;0-9;Male;1
2007-02-11;10-19;Female;0
2007-02-11;10-19;Male;1
2007-02-11;20-29;Female;1
2007-02-11;20-29;Male;0
2007-02-11;30-39;Female;0
2007-02-11;30-39;Male;0
2007-02-11;40-49;Female;1
2007-02-11;40-49;Male;1
2007-02-11;50-59;Female;4
2007-02-11;50-59;Male;10
2007-02-11;60-69;Female;10
2007-02-11;60-69;Male;12
2007-02-11;70-79;Female;18
2007-02-11;70-79;Male;19
2007-02-11;80-89;Female;26
2007-02-11;80-89;Male;21
2007-02-11;90+;Female;18
2007-02-11;90+;Male;8
2007-02-12;0-9;Female;0
2007-02-12;0-9;Male;0
2007-02-12;10-19;Female;0
2007-02-12;10-19;Male;0
2007-02-12;20-29;Female;0
2007-02-12;20-29;Male;2
2007-02-12;30-39;Female;1
2007-02-12;30-39;Male;0
2007-02-12;40-49;Female;2
2007-02-12;40-49;Male;4
2007-02-12;50-59;Female;8
2007-02-12;50-59;Male;5
2007-02-12;60-69;Female;8
2007-02-12;60-69;Male;10
2007-02-12;70-79;Female;23
2007-02-12;70-79;Male;20
2007-02-12;80-89;Female;30
2007-02-12;80-89;Male;25
2007-02-12;90+;Female;19
